   symbol  expiration  strike right                          created                       last_trade   open   high    low  close  volume  count  bid_size  bid_exchange    bid  bid_condition  ask_size  ask_exchange    ask  ask_condition
13    QQQ  2026-08-28   700.0  CALL 2026-08-04 17:22:46.719000-04:00 2026-08-04 15:48:39.202000-04:00  21.12  34.80  21.12  34.40     537    170         6             5  33.64             50         7             5  35.58             50
14    QQQ  2026-08-28   700.0  CALL 2026-08-05 17:16:07.405000-04:00 2026-08-05 16:12:28.561000-04:00  35.33  36.72  27.18  27.18     277     79        27             5  27.40             50        28             5  28.49             50
15    QQQ  2026-08-28   700.0  CALL 2026-08-06 17:17:09.659000-04:00 2026-08-06 16:13:58.835000-04:00  23.53  28.12  22.18  25.75     383    112        19            65  25.65             50        25            65  25.83             50
16    QQQ  2026-08-28   700.0  CALL 2026-08-07 17:17:55.669000-04:00 2026-08-07 15:55:00.093000-04:00  28.94  30.50  26.37  30.14      96     44        27             5  28.31             50        26             5  31.47             50
17    QQQ  2026-08-28   700.0  CALL 2026-08-10 17:19:04.928000-04:00 2026-08-10 15:57:02.786000-04:00  28.90  30.58  27.94  27.98      21     19        45             5  27.80             50        52             5  28.37             50
18    QQQ  2026-08-28   700.0  CALL 2026-08-11 17:19:11.507000-04:00 2026-08-11 15:17:13.474000-04:00  28.15  28.37  23.81  24.77      31     19        27             5  25.08             50        27             5  25.51             50
19    QQQ  2026-08-28   700.0  CALL 2026-08-12 17:18:36.795000-04:00 2026-08-12 14:46:59.233000-04:00  29.85  30.33  28.68  29.93      68     21         9            42  28.16             50        29             5  29.16             50
20    QQQ  2026-08-28   700.0  CALL 2026-08-13 17:21:47.229000-04:00 2026-08-13 16:02:53.421000-04:00  34.00  36.99  34.00  35.60      23     13         8            65  34.79             50        17            65  37.51             50
21    QQQ  2026-08-28   700.0  CALL 2026-08-14 17:22:23.592000-04:00 2026-08-14 15:57:23.809000-04:00  35.58  36.87  32.27  32.91      75     23        24             5  33.28             50        24             5  34.04             50   symbol  expiration  strike right                          created                       last_trade   open   high    low  close  volume  count  bid_size  bid_exchange    bid  bid_condition  ask_size  ask_exchange    ask  ask_condition
0     QQQ  2026-08-28   700.0  CALL 2026-07-16 17:15:23.205000-04:00 2026-07-16 15:52:20.016000-04:00  30.42  31.16  27.47  28.35     131     30        28             5  28.40             50        32             5  28.60             50
1     QQQ  2026-08-28   700.0  CALL 2026-07-17 17:19:02.144000-04:00 2026-07-17 15:56:45.160000-04:00  22.42  26.58  19.92  24.15     160     61        38             5  22.73             50        34             5  23.12             50
2     QQQ  2026-08-28   700.0  CALL 2026-07-20 17:23:42.296000-04:00 2026-07-20 15:54:23.968000-04:00  26.33  27.85  22.60  22.60     221     63        33             5  22.28             50        34             5  22.52             50
3     QQQ  2026-08-28   700.0  CALL 2026-07-21 17:19:19.043000-04:00 2026-07-21 12:50:25.567000-04:00  27.26  29.56  26.05  29.56      21      9        29            65  28.91             50        28             5  29.16             50
4     QQQ  2026-08-28   700.0  CALL 2026-07-22 17:18:43.040000-04:00 2026-07-22 15:54:00.033000-04:00  27.73  28.33  27.35  27.35      13      6         6            60  27.23             50        15            65  28.21             50
5     QQQ  2026-08-28   700.0  CALL 2026-07-23 17:16:15.565000-04:00 2026-07-23 16:14:26.452000-04:00  20.50  22.27  18.64  20.60     420    177         5            60  20.19             50        32            65  20.93             50
6     QQQ  2026-08-28   700.0  CALL 2026-07-24 17:15:47.121000-04:00 2026-07-24 16:13:27.015000-04:00  17.24  18.02  14.50  14.85     145     84        46             5  14.74             50        46             5  15.09             50
7     QQQ  2026-08-28   700.0  CALL 2026-07-27 17:16:56.273000-04:00 2026-07-27 16:14:21.689000-04:00  17.31  17.44  11.42  12.68     122     87        56             5  12.49             50        56             5  12.91             50
8     QQQ  2026-08-28   700.0  CALL 2026-07-28 17:20:08.476000-04:00 2026-07-28 16:09:02.048000-04:00  10.50  11.25   7.75   9.82    1111    257        43            65   9.74             50        59             5  10.03             50
9     QQQ  2026-08-28   700.0  CALL 2026-07-29 17:19:50.479000-04:00 2026-07-29 16:11:31.377000-04:00   9.49  10.50   5.29   5.29     671    267         8            22   5.25             50         8            22   5.86             50
10    QQQ  2026-08-28   700.0  CALL 2026-07-30 17:16:19.750000-04:00 2026-07-30 16:03:44.557000-04:00   8.20  13.28   7.27  12.38     591    208         3            22  12.63             50         3            22  13.24             50
11    QQQ  2026-08-28   700.0  CALL 2026-07-31 17:21:02.383000-04:00 2026-07-31 15:57:46.614000-04:00  15.30  16.98  10.88  12.86     790    226        36            65  12.20             50        49             5  12.51             50
12    QQQ  2026-08-28   700.0  CALL 2026-08-03 17:23:23.659000-04:00 2026-08-03 16:08:59.598000-04:00  11.28  18.31  11.28  17.32     846    302        44             6  17.25             50         4             7  17.40             50
13    QQQ  2026-08-28   700.0  CALL 2026-08-04 17:22:46.719000-04:00 2026-08-04 15:48:39.202000-04:00  21.12  34.80  21.12  34.40     537    170         6             5  33.64             50         7             5  35.58             50
14    QQQ  2026-08-28   700.0  CALL 2026-08-05 17:16:07.405000-04:00 2026-08-05 16:12:28.561000-04:00  35.33  36.72  27.18  27.18     277     79        27             5  27.40             50        28             5  28.49             50
15    QQQ  2026-08-28   700.0  CALL 2026-08-06 17:17:09.659000-04:00 2026-08-06 16:13:58.835000-04:00  23.53  28.12  22.18  25.75     383    112        19            65  25.65             50        25            65  25.83             50
16    QQQ  2026-08-28   700.0  CALL 2026-08-07 17:17:55.669000-04:00 2026-08-07 15:55:00.093000-04:00  28.94  30.50  26.37  30.14      96     44        27             5  28.31             50        26             5  31.47             50
17    QQQ  2026-08-28   700.0  CALL 2026-08-10 17:19:04.928000-04:00 2026-08-10 15:57:02.786000-04:00  28.90  30.58  27.94  27.98      21     19        45             5  27.80             50        52             5  28.37             50
18    QQQ  2026-08-28   700.0  CALL 2026-08-11 17:19:11.507000-04:00 2026-08-11 15:17:13.474000-04:00  28.15  28.37  23.81  24.77      31     19        27             5  25.08             50        27             5  25.51             50
19    QQQ  2026-08-28   700.0  CALL 2026-08-12 17:18:36.795000-04:00 2026-08-12 14:46:59.233000-04:00  29.85  30.33  28.68  29.93      68     21         9            42  28.16             50        29             5  29.16             50
20    QQQ  2026-08-28   700.0  CALL 2026-08-13 17:21:47.229000-04:00 2026-08-13 16:02:53.421000-04:00  34.00  36.99  34.00  35.60      23     13         8            65  34.79             50        17            65  37.51             50
21    QQQ  2026-08-28   700.0  CALL 2026-08-14 17:22:23.592000-04:00 2026-08-14 15:57:23.809000-04:00  35.58  36.87  32.27  32.91      75     23        24             5  33.28             50        24             5  34.04             50   symbol  expiration  strike right                          created                       last_trade   open   high    low  close  volume  count  bid_size  bid_exchange    bid  bid_condition  ask_size  ask_exchange    ask  ask_condition
0     QQQ  2026-08-28   700.0  CALL 2026-07-16 17:15:23.205000-04:00 2026-07-16 15:52:20.016000-04:00  30.42  31.16  27.47  28.35     131     30        28             5  28.40             50        32             5  28.60             50
1     QQQ  2026-08-28   700.0  CALL 2026-07-17 17:19:02.144000-04:00 2026-07-17 15:56:45.160000-04:00  22.42  26.58  19.92  24.15     160     61        38             5  22.73             50        34             5  23.12             50
2     QQQ  2026-08-28   700.0  CALL 2026-07-20 17:23:42.296000-04:00 2026-07-20 15:54:23.968000-04:00  26.33  27.85  22.60  22.60     221     63        33             5  22.28             50        34             5  22.52             50
3     QQQ  2026-08-28   700.0  CALL 2026-07-21 17:19:19.043000-04:00 2026-07-21 12:50:25.567000-04:00  27.26  29.56  26.05  29.56      21      9        29            65  28.91             50        28             5  29.16             50
4     QQQ  2026-08-28   700.0  CALL 2026-07-22 17:18:43.040000-04:00 2026-07-22 15:54:00.033000-04:00  27.73  28.33  27.35  27.35      13      6         6            60  27.23             50        15            65  28.21             50
5     QQQ  2026-08-28   700.0  CALL 2026-07-23 17:16:15.565000-04:00 2026-07-23 16:14:26.452000-04:00  20.50  22.27  18.64  20.60     420    177         5            60  20.19             50        32            65  20.93             50
6     QQQ  2026-08-28   700.0  CALL 2026-07-24 17:15:47.121000-04:00 2026-07-24 16:13:27.015000-04:00  17.24  18.02  14.50  14.85     145     84        46             5  14.74             50        46             5  15.09             50
7     QQQ  2026-08-28   700.0  CALL 2026-07-27 17:16:56.273000-04:00 2026-07-27 16:14:21.689000-04:00  17.31  17.44  11.42  12.68     122     87        56             5  12.49             50        56             5  12.91             50
8     QQQ  2026-08-28   700.0  CALL 2026-07-28 17:20:08.476000-04:00 2026-07-28 16:09:02.048000-04:00  10.50  11.25   7.75   9.82    1111    257        43            65   9.74             50        59             5  10.03             50
9     QQQ  2026-08-28   700.0  CALL 2026-07-29 17:19:50.479000-04:00 2026-07-29 16:11:31.377000-04:00   9.49  10.50   5.29   5.29     671    267         8            22   5.25             50         8            22   5.86             50
10    QQQ  2026-08-28   700.0  CALL 2026-07-30 17:16:19.750000-04:00 2026-07-30 16:03:44.557000-04:00   8.20  13.28   7.27  12.38     591    208         3            22  12.63             50         3            22  13.24             50
11    QQQ  2026-08-28   700.0  CALL 2026-07-31 17:21:02.383000-04:00 2026-07-31 15:57:46.614000-04:00  15.30  16.98  10.88  12.86     790    226        36            65  12.20             50        49             5  12.51             50
12    QQQ  2026-08-28   700.0  CALL 2026-08-03 17:23:23.659000-04:00 2026-08-03 16:08:59.598000-04:00  11.28  18.31  11.28  17.32     846    302        44             6  17.25             50         4             7  17.40             50
13    QQQ  2026-08-28   700.0  CALL 2026-08-04 17:22:46.719000-04:00 2026-08-04 15:48:39.202000-04:00  21.12  34.80  21.12  34.40     537    170         6             5  33.64             50         7             5  35.58             50
14    QQQ  2026-08-28   700.0  CALL 2026-08-05 17:16:07.405000-04:00 2026-08-05 16:12:28.561000-04:00  35.33  36.72  27.18  27.18     277     79        27             5  27.40             50        28             5  28.49             50
15    QQQ  2026-08-28   700.0  CALL 2026-08-06 17:17:09.659000-04:00 2026-08-06 16:13:58.835000-04:00  23.53  28.12  22.18  25.75     383    112        19            65  25.65             50        25            65  25.83             50
16    QQQ  2026-08-28   700.0  CALL 2026-08-07 17:17:55.669000-04:00 2026-08-07 15:55:00.093000-04:00  28.94  30.50  26.37  30.14      96     44        27             5  28.31             50        26             5  31.47             50
17    QQQ  2026-08-28   700.0  CALL 2026-08-10 17:19:04.928000-04:00 2026-08-10 15:57:02.786000-04:00  28.90  30.58  27.94  27.98      21     19        45             5  27.80             50        52             5  28.37             50
18    QQQ  2026-08-28   700.0  CALL 2026-08-11 17:19:11.507000-04:00 2026-08-11 15:17:13.474000-04:00  28.15  28.37  23.81  24.77      31     19        27             5  25.08             50        27             5  25.51             50
19    QQQ  2026-08-28   700.0  CALL 2026-08-12 17:18:36.795000-04:00 2026-08-12 14:46:59.233000-04:00  29.85  30.33  28.68  29.93      68     21         9            42  28.16             50        29             5  29.16             50
20    QQQ  2026-08-28   700.0  CALL 2026-08-13 17:21:47.229000-04:00 2026-08-13 16:02:53.421000-04:00  34.00  36.99  34.00  35.60      23     13         8            65  34.79             50        17            65  37.51             50
21    QQQ  2026-08-28   700.0  CALL 2026-08-14 17:22:23.592000-04:00 2026-08-14 15:57:23.809000-04:00  35.58  36.87  32.27  32.91      75     23        24             5  33.28             50        24             5  34.04             50   symbol  expiration  strike right                          created                       last_trade   open   high    low  close  volume  count  bid_size  bid_exchange    bid  bid_condition  ask_size  ask_exchange    ask  ask_condition
0     QQQ  2026-08-28   700.0  CALL 2026-07-16 17:15:23.205000-04:00 2026-07-16 15:52:20.016000-04:00  30.42  31.16  27.47  28.35     131     30        28             5  28.40             50        32             5  28.60             50
1     QQQ  2026-08-28   700.0  CALL 2026-07-17 17:19:02.144000-04:00 2026-07-17 15:56:45.160000-04:00  22.42  26.58  19.92  24.15     160     61        38             5  22.73             50        34             5  23.12             50
2     QQQ  2026-08-28   700.0  CALL 2026-07-20 17:23:42.296000-04:00 2026-07-20 15:54:23.968000-04:00  26.33  27.85  22.60  22.60     221     63        33             5  22.28             50        34             5  22.52             50
3     QQQ  2026-08-28   700.0  CALL 2026-07-21 17:19:19.043000-04:00 2026-07-21 12:50:25.567000-04:00  27.26  29.56  26.05  29.56      21      9        29            65  28.91             50        28             5  29.16             50
4     QQQ  2026-08-28   700.0  CALL 2026-07-22 17:18:43.040000-04:00 2026-07-22 15:54:00.033000-04:00  27.73  28.33  27.35  27.35      13      6         6            60  27.23             50        15            65  28.21             50
5     QQQ  2026-08-28   700.0  CALL 2026-07-23 17:16:15.565000-04:00 2026-07-23 16:14:26.452000-04:00  20.50  22.27  18.64  20.60     420    177         5            60  20.19             50        32            65  20.93             50
6     QQQ  2026-08-28   700.0  CALL 2026-07-24 17:15:47.121000-04:00 2026-07-24 16:13:27.015000-04:00  17.24  18.02  14.50  14.85     145     84        46             5  14.74             50        46             5  15.09             50
7     QQQ  2026-08-28   700.0  CALL 2026-07-27 17:16:56.273000-04:00 2026-07-27 16:14:21.689000-04:00  17.31  17.44  11.42  12.68     122     87        56             5  12.49             50        56             5  12.91             50
8     QQQ  2026-08-28   700.0  CALL 2026-07-28 17:20:08.476000-04:00 2026-07-28 16:09:02.048000-04:00  10.50  11.25   7.75   9.82    1111    257        43            65   9.74             50        59             5  10.03             50
9     QQQ  2026-08-28   700.0  CALL 2026-07-29 17:19:50.479000-04:00 2026-07-29 16:11:31.377000-04:00   9.49  10.50   5.29   5.29     671    267         8            22   5.25             50         8            22   5.86             50
10    QQQ  2026-08-28   700.0  CALL 2026-07-30 17:16:19.750000-04:00 2026-07-30 16:03:44.557000-04:00   8.20  13.28   7.27  12.38     591    208         3            22  12.63             50         3            22  13.24             50
11    QQQ  2026-08-28   700.0  CALL 2026-07-31 17:21:02.383000-04:00 2026-07-31 15:57:46.614000-04:00  15.30  16.98  10.88  12.86     790    226        36            65  12.20             50        49             5  12.51             50
12    QQQ  2026-08-28   700.0  CALL 2026-08-03 17:23:23.659000-04:00 2026-08-03 16:08:59.598000-04:00  11.28  18.31  11.28  17.32     846    302        44             6  17.25             50         4             7  17.40             50
13    QQQ  2026-08-28   700.0  CALL 2026-08-04 17:22:46.719000-04:00 2026-08-04 15:48:39.202000-04:00  21.12  34.80  21.12  34.40     537    170         6             5  33.64             50         7             5  35.58             50
14    QQQ  2026-08-28   700.0  CALL 2026-08-05 17:16:07.405000-04:00 2026-08-05 16:12:28.561000-04:00  35.33  36.72  27.18  27.18     277     79        27             5  27.40             50        28             5  28.49             50
15    QQQ  2026-08-28   700.0  CALL 2026-08-06 17:17:09.659000-04:00 2026-08-06 16:13:58.835000-04:00  23.53  28.12  22.18  25.75     383    112        19            65  25.65             50        25            65  25.83             50
16    QQQ  2026-08-28   700.0  CALL 2026-08-07 17:17:55.669000-04:00 2026-08-07 15:55:00.093000-04:00  28.94  30.50  26.37  30.14      96     44        27             5  28.31             50        26             5  31.47             50
17    QQQ  2026-08-28   700.0  CALL 2026-08-10 17:19:04.928000-04:00 2026-08-10 15:57:02.786000-04:00  28.90  30.58  27.94  27.98      21     19        45             5  27.80             50        52             5  28.37             50
18    QQQ  2026-08-28   700.0  CALL 2026-08-11 17:19:11.507000-04:00 2026-08-11 15:17:13.474000-04:00  28.15  28.37  23.81  24.77      31     19        27             5  25.08             50        27             5  25.51             50
19    QQQ  2026-08-28   700.0  CALL 2026-08-12 17:18:36.795000-04:00 2026-08-12 14:46:59.233000-04:00  29.85  30.33  28.68  29.93      68     21         9            42  28.16             50        29             5  29.16             50
20    QQQ  2026-08-28   700.0  CALL 2026-08-13 17:21:47.229000-04:00 2026-08-13 16:02:53.421000-04:00  34.00  36.99  34.00  35.60      23     13         8            65  34.79             50        17            65  37.51             50
21    QQQ  2026-08-28   700.0  CALL 2026-08-14 17:22:23.592000-04:00 2026-08-14 15:57:23.809000-04:00  35.58  36.87  32.27  32.91      75     23        24             5  33.28             50        24             5  34.04             50   symbol  expiration  strike right                          created                       last_trade   open   high    low  close  volume  count  bid_size  bid_exchange    bid  bid_condition  ask_size  ask_exchange    ask  ask_condition
0     QQQ  2026-08-28   700.0  CALL 2026-07-16 17:15:23.205000-04:00 2026-07-16 15:52:20.016000-04:00  30.42  31.16  27.47  28.35     131     30        28             5  28.40             50        32             5  28.60             50
1     QQQ  2026-08-28   700.0  CALL 2026-07-17 17:19:02.144000-04:00 2026-07-17 15:56:45.160000-04:00  22.42  26.58  19.92  24.15     160     61        38             5  22.73             50        34             5  23.12             50
2     QQQ  2026-08-28   700.0  CALL 2026-07-20 17:23:42.296000-04:00 2026-07-20 15:54:23.968000-04:00  26.33  27.85  22.60  22.60     221     63        33             5  22.28             50        34             5  22.52             50
3     QQQ  2026-08-28   700.0  CALL 2026-07-21 17:19:19.043000-04:00 2026-07-21 12:50:25.567000-04:00  27.26  29.56  26.05  29.56      21      9        29            65  28.91             50        28             5  29.16             50
4     QQQ  2026-08-28   700.0  CALL 2026-07-22 17:18:43.040000-04:00 2026-07-22 15:54:00.033000-04:00  27.73  28.33  27.35  27.35      13      6         6            60  27.23             50        15            65  28.21             50
5     QQQ  2026-08-28   700.0  CALL 2026-07-23 17:16:15.565000-04:00 2026-07-23 16:14:26.452000-04:00  20.50  22.27  18.64  20.60     420    177         5            60  20.19             50        32            65  20.93             50
6     QQQ  2026-08-28   700.0  CALL 2026-07-24 17:15:47.121000-04:00 2026-07-24 16:13:27.015000-04:00  17.24  18.02  14.50  14.85     145     84        46             5  14.74             50        46             5  15.09             50
7     QQQ  2026-08-28   700.0  CALL 2026-07-27 17:16:56.273000-04:00 2026-07-27 16:14:21.689000-04:00  17.31  17.44  11.42  12.68     122     87        56             5  12.49             50        56             5  12.91             50
8     QQQ  2026-08-28   700.0  CALL 2026-07-28 17:20:08.476000-04:00 2026-07-28 16:09:02.048000-04:00  10.50  11.25   7.75   9.82    1111    257        43            65   9.74             50        59             5  10.03             50
9     QQQ  2026-08-28   700.0  CALL 2026-07-29 17:19:50.479000-04:00 2026-07-29 16:11:31.377000-04:00   9.49  10.50   5.29   5.29     671    267         8            22   5.25             50         8            22   5.86             50
10    QQQ  2026-08-28   700.0  CALL 2026-07-30 17:16:19.750000-04:00 2026-07-30 16:03:44.557000-04:00   8.20  13.28   7.27  12.38     591    208         3            22  12.63             50         3            22  13.24             50
11    QQQ  2026-08-28   700.0  CALL 2026-07-31 17:21:02.383000-04:00 2026-07-31 15:57:46.614000-04:00  15.30  16.98  10.88  12.86     790    226        36            65  12.20             50        49             5  12.51             50
12    QQQ  2026-08-28   700.0  CALL 2026-08-03 17:23:23.659000-04:00 2026-08-03 16:08:59.598000-04:00  11.28  18.31  11.28  17.32     846    302        44             6  17.25             50         4             7  17.40             50
13    QQQ  2026-08-28   700.0  CALL 2026-08-04 17:22:46.719000-04:00 2026-08-04 15:48:39.202000-04:00  21.12  34.80  21.12  34.40     537    170         6             5  33.64             50         7             5  35.58             50
14    QQQ  2026-08-28   700.0  CALL 2026-08-05 17:16:07.405000-04:00 2026-08-05 16:12:28.561000-04:00  35.33  36.72  27.18  27.18     277     79        27             5  27.40             50        28             5  28.49             50
15    QQQ  2026-08-28   700.0  CALL 2026-08-06 17:17:09.659000-04:00 2026-08-06 16:13:58.835000-04:00  23.53  28.12  22.18  25.75     383    112        19            65  25.65             50        25            65  25.83             50
16    QQQ  2026-08-28   700.0  CALL 2026-08-07 17:17:55.669000-04:00 2026-08-07 15:55:00.093000-04:00  28.94  30.50  26.37  30.14      96     44        27             5  28.31             50        26             5  31.47             50
17    QQQ  2026-08-28   700.0  CALL 2026-08-10 17:19:04.928000-04:00 2026-08-10 15:57:02.786000-04:00  28.90  30.58  27.94  27.98      21     19        45             5  27.80             50        52             5  28.37             50
18    QQQ  2026-08-28   700.0  CALL 2026-08-11 17:19:11.507000-04:00 2026-08-11 15:17:13.474000-04:00  28.15  28.37  23.81  24.77      31     19        27             5  25.08             50        27             5  25.51             50
19    QQQ  2026-08-28   700.0  CALL 2026-08-12 17:18:36.795000-04:00 2026-08-12 14:46:59.233000-04:00  29.85  30.33  28.68  29.93      68     21         9            42  28.16             50        29             5  29.16             50
20    QQQ  2026-08-28   700.0  CALL 2026-08-13 17:21:47.229000-04:00 2026-08-13 16:02:53.421000-04:00  34.00  36.99  34.00  35.60      23     13         8            65  34.79             50        17            65  37.51             50
21    QQQ  2026-08-28   700.0  CALL 2026-08-14 17:22:23.592000-04:00 2026-08-14 15:57:23.809000-04:00  35.58  36.87  32.27  32.91      75     23        24             5  33.28             50        24             5  34.04             50   symbol  expiration  strike right                          created                       last_trade   open   high    low  close  volume  count  bid_size  bid_exchange    bid  bid_condition  ask_size  ask_exchange    ask  ask_condition
0     QQQ  2026-08-28   700.0  CALL 2026-07-16 17:15:23.205000-04:00 2026-07-16 15:52:20.016000-04:00  30.42  31.16  27.47  28.35     131     30        28             5  28.40             50        32             5  28.60             50
1     QQQ  2026-08-28   700.0  CALL 2026-07-17 17:19:02.144000-04:00 2026-07-17 15:56:45.160000-04:00  22.42  26.58  19.92  24.15     160     61        38             5  22.73             50        34             5  23.12             50
2     QQQ  2026-08-28   700.0  CALL 2026-07-20 17:23:42.296000-04:00 2026-07-20 15:54:23.968000-04:00  26.33  27.85  22.60  22.60     221     63        33             5  22.28             50        34             5  22.52             50
3     QQQ  2026-08-28   700.0  CALL 2026-07-21 17:19:19.043000-04:00 2026-07-21 12:50:25.567000-04:00  27.26  29.56  26.05  29.56      21      9        29            65  28.91             50        28             5  29.16             50
4     QQQ  2026-08-28   700.0  CALL 2026-07-22 17:18:43.040000-04:00 2026-07-22 15:54:00.033000-04:00  27.73  28.33  27.35  27.35      13      6         6            60  27.23             50        15            65  28.21             50
5     QQQ  2026-08-28   700.0  CALL 2026-07-23 17:16:15.565000-04:00 2026-07-23 16:14:26.452000-04:00  20.50  22.27  18.64  20.60     420    177         5            60  20.19             50        32            65  20.93             50
6     QQQ  2026-08-28   700.0  CALL 2026-07-24 17:15:47.121000-04:00 2026-07-24 16:13:27.015000-04:00  17.24  18.02  14.50  14.85     145     84        46             5  14.74             50        46             5  15.09             50
7     QQQ  2026-08-28   700.0  CALL 2026-07-27 17:16:56.273000-04:00 2026-07-27 16:14:21.689000-04:00  17.31  17.44  11.42  12.68     122     87        56             5  12.49             50        56             5  12.91             50
8     QQQ  2026-08-28   700.0  CALL 2026-07-28 17:20:08.476000-04:00 2026-07-28 16:09:02.048000-04:00  10.50  11.25   7.75   9.82    1111    257        43            65   9.74             50        59             5  10.03             50
9     QQQ  2026-08-28   700.0  CALL 2026-07-29 17:19:50.479000-04:00 2026-07-29 16:11:31.377000-04:00   9.49  10.50   5.29   5.29     671    267         8            22   5.25             50         8            22   5.86             50
10    QQQ  2026-08-28   700.0  CALL 2026-07-30 17:16:19.750000-04:00 2026-07-30 16:03:44.557000-04:00   8.20  13.28   7.27  12.38     591    208         3            22  12.63             50         3            22  13.24             50
11    QQQ  2026-08-28   700.0  CALL 2026-07-31 17:21:02.383000-04:00 2026-07-31 15:57:46.614000-04:00  15.30  16.98  10.88  12.86     790    226        36            65  12.20             50        49             5  12.51             50
12    QQQ  2026-08-28   700.0  CALL 2026-08-03 17:23:23.659000-04:00 2026-08-03 16:08:59.598000-04:00  11.28  18.31  11.28  17.32     846    302        44             6  17.25             50         4             7  17.40             50
13    QQQ  2026-08-28   700.0  CALL 2026-08-04 17:22:46.719000-04:00 2026-08-04 15:48:39.202000-04:00  21.12  34.80  21.12  34.40     537    170         6             5  33.64             50         7             5  35.58             50
14    QQQ  2026-08-28   700.0  CALL 2026-08-05 17:16:07.405000-04:00 2026-08-05 16:12:28.561000-04:00  35.33  36.72  27.18  27.18     277     79        27             5  27.40             50        28             5  28.49             50
15    QQQ  2026-08-28   700.0  CALL 2026-08-06 17:17:09.659000-04:00 2026-08-06 16:13:58.835000-04:00  23.53  28.12  22.18  25.75     383    112        19            65  25.65             50        25            65  25.83             50
16    QQQ  2026-08-28   700.0  CALL 2026-08-07 17:17:55.669000-04:00 2026-08-07 15:55:00.093000-04:00  28.94  30.50  26.37  30.14      96     44        27             5  28.31             50        26             5  31.47             50
17    QQQ  2026-08-28   700.0  CALL 2026-08-10 17:19:04.928000-04:00 2026-08-10 15:57:02.786000-04:00  28.90  30.58  27.94  27.98      21     19        45             5  27.80             50        52             5  28.37             50
18    QQQ  2026-08-28   700.0  CALL 2026-08-11 17:19:11.507000-04:00 2026-08-11 15:17:13.474000-04:00  28.15  28.37  23.81  24.77      31     19        27             5  25.08             50        27             5  25.51             50
19    QQQ  2026-08-28   700.0  CALL 2026-08-12 17:18:36.795000-04:00 2026-08-12 14:46:59.233000-04:00  29.85  30.33  28.68  29.93      68     21         9            42  28.16             50        29             5  29.16             50
20    QQQ  2026-08-28   700.0  CALL 2026-08-13 17:21:47.229000-04:00 2026-08-13 16:02:53.421000-04:00  34.00  36.99  34.00  35.60      23     13         8            65  34.79             50        17            65  37.51             50
